measurement,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
0.0,0.11529541,-0.03765869,0.04699707,29.76336,-10.343512,-12.572519,257.0,-30327.0,0.0
1.0,0.11413574,-0.03314209,0.04901123,59.40458,-8.0992365,-12.893129,257.0,-30327.0,0.0
2.0,0.111694336,-0.024475098,0.0501709,61.229008,-12.328244,-9.557252,257.0,-30070.0,0.0
3.0,0.110839844,-0.022888184,0.05718994,49.030533,-15.328244,-6.664122,257.0,-30070.0,0.0
4.0,0.11401367,-0.022644043,0.053894043,44.923664,-16.603054,-2.206107,257.0,-30070.0,0.0
5.0,0.11413574,-0.02142334,0.054260254,39.450382,-17.274809,-1.9465649,257.0,-30070.0,0.0
6.0,0.11437988,-0.019592285,0.05267334,25.946566,-19.67939,0.091603056,257.0,-30070.0,0.0
7.0,0.115722656,-0.017578125,0.051452637,8.709924,-9.2595415,-4.2137403,257.0,-30070.0,0.0
8.0,0.11254883,-0.0178833,0.054260254,-9.297709,-8.450381,-4.816794,257.0,-30070.0,0.0
9.0,0.111572266,-0.024963379,0.04876709,-10.679389,-8.725191,-5.3893127,257.0,-30070.0,0.0
10.0,0.11029053,-0.024230957,0.04937744,-7.5114503,-5.7557254,-7.8625956,257.0,-30070.0,0.0
11.0,0.111694336,-0.022766113,0.05218506,-0.007633588,-5.923664,-10.068703,257.0,-30070.0,0.0
12.0,0.11328125,-0.024047852,0.053466797,10.290076,-8.366412,-11.549619,257.0,-30070.0,0.0
13.0,0.112976074,-0.021057129,0.05670166,14.549619,-2.7633588,-12.427481,257.0,-30070.0,0.0
14.0,0.11291504,-0.016906738,0.059753418,11.38168,-2.870229,-12.770992,257.0,-30070.0,0.0
15.0,0.11633301,-0.014892578,0.06298828,0.5801527,-1.3740458,-14.473283,257.0,-30070.0,0.0
16.0,0.11602783,-0.01751709,0.062072754,-6.2366414,6.19084,-16.068703,257.0,-30070.0,0.0
17.0,0.12371826,-0.013061523,0.045715332,-17.038168,10.519084,-12.229008,257.0,-30070.0,0.0
18.0,0.121032715,-0.017211914,0.05987549,-18.633587,11.748092,-17.282442,257.0,-30070.0,0.0
19.0,0.11987305,-0.016662598,0.06384277,-14.992367,15.9007635,-13.511451,257.0,-30070.0,0.0
20.0,0.117370605,-0.0146484375,0.06036377,-16.717558,17.091602,-15.519084,257.0,-30070.0,0.0
21.0,0.11657715,-0.016357422,0.05999756,-18.007633,15.702291,-18.977098,257.0,-30070.0,0.0
22.0,0.11657715,-0.0154418945,0.06085205,-12.229008,19.93893,-18.496183,257.0,-30070.0,0.0
23.0,0.117248535,-0.014221191,0.058532715,-12.977099,20.839695,-21.274809,257.0,-30070.0,0.0
24.0,0.119506836,-0.013427734,0.057922363,-18.786259,21.832062,-25.213741,257.0,-30070.0,0.0
25.0,0.11871338,-0.010620117,0.059387207,-29.709923,25.229008,-20.404581,257.0,-30070.0,0.0
26.0,0.12695312,-0.0095825195,0.049865723,-46.40458,24.633587,-23.496183,257.0,-30070.0,0.0
27.0,0.13702393,-0.013061523,0.04815674,-61.20611,24.76336,-26.67939,257.0,-30070.0,0.0
