measurement,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Label
0,0.06500244,-0.10333252,-0.0020141602,142.45801,-3.9541984,31.480917,10
1,0.06762695,-0.10949707,0.0078125,127.76336,-1.5038168,23.038168,10
2,0.061950684,-0.103271484,0.0154418945,108.71756,-4.5496182,20.877863,10
3,0.060668945,-0.10479736,0.004699707,99.770996,-7.671756,17.847328,10
4,0.059753418,-0.11047363,0.045288086,85.89313,-5.2061067,12.687023,10
5,0.061706543,-0.11450195,0.057617188,45.770992,-9.274809,5.1603055,10
6,0.05822754,-0.115356445,0.021606445,14.549619,-10.725191,-5.0152674,10
7,0.05529785,-0.119262695,0.023742676,-11.496183,-7.9694657,-13.885496,10
8,0.06011963,-0.11798096,0.028137207,-44.458015,0.40458015,-24.89313,10
9,0.059143066,-0.10949707,0.0095825195,-60.67939,4.2290077,-28.877863,10
10,0.06237793,-0.0993042,0.011657715,-52.068703,-1.7862595,-29.854961,10
11,0.06237793,-0.09588623,-0.0014038086,-21.503817,-11.59542,-24.717558,10
12,0.06518555,-0.09527588,0.018859863,-2.8931298,-5.854962,-20.19084,10
13,0.06500244,-0.099487305,-0.0079956055,-14,5.9389315,-11.938931,10
14,0.06976318,-0.09289551,-0.012023926,-9.358779,9.045801,-9.671756,10
15,0.06976318,-0.09753418,0.03363037,4.3969464,-6.1984735,-2.2519083,10
16,0.062438965,-0.104003906,0.022521973,-2.2900763,-10.122137,-4.633588,10
17,0.06488037,-0.10546875,-0.0079956055,-13.022901,-10.297709,-2.8396947,10
18,0.059326172,-0.101623535,-0.0040283203,-12.450381,1.2137405,-2.259542,10
19,0.0647583,-0.09539795,-0.0063476562,6.442748,-3.442748,4.6946564,10
20,0.06121826,-0.10211182,0.02154541,25.67939,-16.450382,6.59542,10
21,0.0592041,-0.117492676,0.004272461,12.526717,-11.519084,2.2137403,10
22,0.06500244,-0.1081543,-0.0057373047,-8.984733,-2.5648854,-3.5267177,10
23,0.06512451,-0.09899902,0.012023926,-7.7557254,7.2290077,-1.4122137,10
24,0.06604004,-0.09893799,0.0010986328,-2.8091602,0.129771,1.7557251,10
25,0.06085205,-0.10192871,-0.0025024414,5.4198475,-11.114504,0.10687023,10
26,0.059448242,-0.10662842,-0.01184082,6.8778625,-4.7633586,-1.8244275,10
27,0.06585693,-0.10772705,-0.016235352,-0.9389313,4.5038166,-3.9160306,10
28,0.06286621,-0.101379395,0.022399902,-17.206106,9.351145,-5.3816795,10
29,0.063964844,-0.10321045,0.010253906,-6.633588,-7.3206105,-5.8396945,10
30,0.06298828,-0.098083496,-0.0031738281,10.40458,-10.755725,4.9923663,10
31,0.05847168,-0.103271484,0.0028076172,6.854962,-0.9389313,1.9923664,10
