2019-05-23_22-09-48_Accelerometer
measurement,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Label
0,-0.050964355,-0.23175049,-0.019714355,-72.23664,54.84733,-69.16794,1
1,-0.018371582,-0.21240234,-2.4414062E-04,2.1450381,-1.1374046,-102.65649,1
2,0.019592285,-0.16278076,0.026977539,81.16031,-54.267174,-141.64122,1
3,0.051757812,-0.14050293,0.020263672,49.74046,-43.21374,-147.03816,1
4,0.03942871,-0.15710449,-0.0061035156,60.27481,37.29771,-154.73282,1
5,-0.011230469,-0.11828613,-0.030761719,118.56489,31.435114,-212.45038,1
6,-0.013061523,-0.12023926,-0.057128906,144.8626,46.290077,-235.35878,1
7,-0.04547119,-0.13537598,-0.078552246,180.98473,90.099236,-250.1374,1
8,-0.08557129,-0.1852417,-0.11663818,181.80916,94,-250.1374,1
9,-0.14703369,-0.2937622,-0.17077637,184.48856,66.30534,-250.1374,1
10,-0.20111084,-0.33398438,-0.14727783,185.1374,72.29008,-250.1374,1
11,-0.234375,-0.32763672,-0.14135742,99.57252,119.900764,-250.1374,1
12,-0.2532959,-0.23858643,-0.13702393,146.38931,146.0458,-250.1374,1
13,-0.19354248,-0.10876465,-0.08380127,186.69466,158.17557,-250.1374,1
14,-0.11456299,0.0138549805,-0.03552246,90.80916,218.73282,-150.229,1
15,-0.10119629,0.054992676,-0.031555176,70.56489,228.50381,-109.8855,1
16,-0.121398926,0.10595703,-0.0211792,42.030533,217.47328,-76.25191,1
17,-0.13439941,0.115722656,-0.027648926,-28.984734,127.07633,-32.030533,1
18,-0.09802246,0.111206055,0.019226074,-35.82443,47.549618,12.465649,1
19,-0.089416504,0.093933105,0.012084961,-73.83206,7.442748,70.67175,1
20,-0.11633301,0.054016113,0.02130127,-79.47328,-38.419846,123.45038,1
21,-0.10827637,-0.016052246,0.026000977,-81.37405,-87.503815,169.00763,1
22,-0.21136475,-0.4024048,-0.07861328,-93.778625,-160.6565,234.29007,1
23,-0.12994385,-0.47491455,-0.07281494,-250.1374,-126.824425,174.30534,1
24,-0.09051514,-0.40795898,-0.076171875,-187.43512,-113.419846,61.34351,1
25,6.1035156E-04,-0.25756836,0.0138549805,-87.51145,-119.24428,26.503817,1
26,0.027893066,-0.18127441,0.024108887,-120.27481,-143.58015,51.694656,1
27,0.08099365,-0.07891846,0.027893066,-129.35878,-159.70229,18.076336,1
28,0.09716797,-0.097351074,0.021911621,-20.480917,-96.87786,10.839695,1
29,0.093322754,-0.041809082,0.05041504,69.64886,-58.70229,-24.305344,1
30,0.10687256,-0.0126953125,0.045166016,51.82443,-63.23664,-56.114502,1
31,0.119018555,-0.013549805,0.019714355,36.427483,-5.9007635,-79.40458,1
32,0.10430908,-0.031921387,-0.00970459,25.885496,105.92367,-91.15267,1
33,0.08154297,-0.1126709,-0.0178833,-5.6488547,130.41985,-92.08397,1
34,0.10369873,-0.3399048,-0.07952881,-37.946564,84.35114,-31.458015,1
35,-0.07110596,-0.57580566,-0.31341553,36.64122,250.12978,5.374046,1
36,-0.21154785,-0.45147705,-0.11505127,250.12978,88.8855,-222.0458,1
37,-0.12414551,-0.29833984,-0.19970703,161.91603,187.37404,-211.03816,1
38,-0.15802002,-0.17449951,-0.10369873,134.77863,250.12978,-230.46565,1
39,-0.11999512,-0.045959473,-0.10021973,-27.603054,81.07633,-214.05344,1
40,-0.07122803,-0.040161133,-0.048583984,-214.67938,118.20611,-143.29771,1
41,-0.08917236,-0.04333496,-0.010864258,-84.183205,153.16031,-89.36641,1
42,-0.09899902,0.016540527,0.009643555,43.687023,180.33588,-29.694656,1
43,-0.11218262,0.06829834,0.0051879883,122.66412,186.70993,1.0076336,1
44,-0.11669922,0.09844971,-0.0021972656,141.40459,128.771,12.709924,1
45,-0.09869385,0.115600586,-0.014953613,79.60305,22.312977,38.53435,1
46,-0.11242676,0.11602783,-0.011108398,-64.51908,-69.175575,83.05344,1
47,-0.111206055,0.0625,-0.0053710938,-146.229,-116.69466,130.0229,1
48,-0.12591553,-0.070495605,-0.040100098,-184.94656,-146.94656,201.45801,1
49,-0.2850952,-0.35144043,-0.10021973,-250.1374,-233.30534,250.12978,1
50,-0.12060547,-0.559021,-0.19299316,54.91603,-141.09924,212.77863,1
51,-0.14416504,-0.45074463,-0.023376465,-64.0229,-49.282444,80.68702,1
52,-0.066833496,-0.37854004,-0.005432129,83.23664,-65.32825,58.74046,1
53,0.0051879883,-0.22515869,0.037353516,125.67175,-140.41985,75.15267,1
54,0.020996094,-0.09613037,0.06451416,-20.977098,-135.25954,108.60305,1
55,0.022216797,-0.09509277,0.08294678,-250.1374,-250.03816,4.625954,1
56,0.06890869,-0.13195801,-0.006591797,-174.08397,-203.41222,-24.343512,1
57,0.099853516,-0.050842285,0.052001953,-91.07633,-192.66412,-64.32825,1
58,0.12023926,-0.03942871,0.030639648,-16.244274,-30.885496,-78.21374,1
59,0.109802246,-0.036010742,0.023254395,56.35878,-6.9389315,-98.24428,1
60,0.1149292,-0.030517578,-0.0038452148,97.37405,33.923664,-131.29771,1
61,0.12054443,-0.08880615,-0.012084961,1.6412214,109.64122,-130.57253,1
62,0.13098145,-0.2543335,-0.05419922,-116.32061,95.0687,-100.175575,1
63,0.032714844,-0.5383301,-0.23815918,-204.12978,238.8626,-46.633587,1
64,-0.109680176,-0.49609375,-0.14031982,250.12978,191.0458,-239.9771,1
65,-0.06591797,-0.32061768,-0.07659912,142.37404,131.08397,-250.1374,1
66,-0.101135254,-0.099365234,-0.053100586,122.76336,58.34351,-226.31297,1
67,-0.06939697,-0.025024414,-0.043884277,-99.70229,53.732826,-150.29007,1
68,-0.07055664,-0.03375244,-0.0071411133,-62.412212,114.419846,-79.9771,1
69,-0.10284424,0.027709961,0.013671875,15.541985,132.36641,-21.206106,1
70,-0.11352539,0.07672119,0.007751465,42.25954,153.18321,21.541985,1
71,-0.12158203,0.10406494,0.026367188,75.32061,157.0687,53.633587,1
72,-0.13867188,0.083496094,-0.0010986328,71.19084,90.259544,101.84733,1
73,-0.13909912,0.06726074,-0.02319336,32.312977,-4.480916,164.68703,1
74,-0.14245605,-0.024963379,-0.016235352,-83.099236,-62.129772,208.63359,1
75,-0.14819336,-0.27020264,-0.006591797,-148.25954,-162.9313,250.12978,1
76,-0.1531372,-0.4237671,-0.08453369,-97.824425,-165.17557,246.82443,1
77,-0.085510254,-0.4539795,-0.046203613,-111.79389,-132.51144,183.9771,1
78,-0.06011963,-0.37402344,-0.01550293,-101.618324,-108.145035,125.259544,1
79,-0.0064697266,-0.2559204,0.014221191,-37.40458,-134.32825,97.00764,1
80,0.02532959,-0.15533447,0.062072754,-74,-103.145035,152.51909,1
81,0.041809082,-0.07318115,0.018554688,-53.427483,-114.79389,121.16031,1
82,0.05230713,-0.06549072,0.082336426,-218.58015,-126.07633,22.38168,1
83,0.07897949,-0.124938965,0.019104004,-49.61832,-141.47328,-4.3893127,1
84,0.12023926,-0.055603027,0.06048584,67.47328,-108.07633,-3.389313,1
85,0.14666748,-0.020568848,0.050720215,52.282444,-125.71756,-46.839695,1
86,0.16741943,-0.016906738,-0.0057373047,8.59542,-24.946566,-70.83969,1
87,0.114746094,-0.33862305,-0.047973633,-133.29771,58.49618,-30.725191,1
88,-0.052490234,-0.6185913,-0.32769775,-43.267174,241.32062,-14.770992,1
89,-0.14642334,-0.44683838,-0.11053467,250.12978,149.40459,-237.52672,1
90,-0.08496094,-0.30651855,-0.111572266,115.83206,142.30534,-234.71756,1
91,-0.16290283,-0.24871826,-0.13665771,113.381676,218.57253,-217.6565,1
92,-0.074523926,-0.0115356445,-0.047058105,-204,-13.305344,-200.03816,1
93,-0.05505371,-0.074645996,-0.025146484,-153.19847,91.73283,-120.0458,1
94,-0.1116333,0.01373291,0.007873535,44.290077,99.229004,-49.48855,1
95,-0.10583496,0.0848999,0.021362305,43.91603,126.061066,0.9465649,1
