measurement,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Label
0,0.031921387,0.09008789,0.077697754,1.9312977,-5.59542,-1.9694656,4
1,0.03265381,0.09802246,0.08483887,-0.23664123,-5.183206,-0.053435113,4
2,0.037841797,0.08996582,0.06951904,-0.90839696,-7.10687,-0.90076333,4
3,0.028808594,0.091796875,0.07128906,-2.2366412,-7.412214,0.03816794,4
4,0.028808594,0.092041016,0.07598877,-2.557252,-6.9007635,-1.8549619,4
5,0.031555176,0.084228516,0.08001709,-1.870229,-5.847328,-2.206107,4
6,0.01739502,0.09387207,0.07159424,-8.694656,-5.2061067,-5.6030536,4
7,0.0368042,0.08831787,0.08190918,-14.274809,-3.076336,-3.4580152,4
8,0.0256958,0.08880615,0.08428955,-17.183207,-5.183206,-5.328244,4
9,0.026733398,0.09680176,0.07647705,-21.343512,-1.7633588,-3.4503818,4
10,0.031921387,0.095214844,0.08074951,-23.862595,-2,-7.5267177,4
11,0.02960205,0.09802246,0.07873535,-30.549618,-3.0229008,-11.290076,4
12,0.023742676,0.08618164,0.08648682,-10.175572,-7.633588,-7.6793895,4
13,0.03918457,0.07989502,0.08996582,-13.862596,-11.2595415,-7.5267177,4
14,0.023925781,0.0770874,0.07397461,-5.2519083,-12.19084,-7.4274807,4
15,0.022460938,0.0758667,0.09887695,2.1068702,-21.267176,-22.839695,4
16,0.020507812,0.0881958,0.109313965,-14.839695,-29.23664,-27.923664,4
17,0.023132324,0.08496094,0.07940674,-43.67939,-29.015266,-17.183207,4
18,0.019958496,0.06604004,0.08868408,-56.412212,-41.23664,-22.862595,4
19,0.019348145,0.06933594,0.10601807,-29.534351,-54.85496,-36.49618,4
20,0.015808105,0.08544922,0.10888672,-27.641222,-60.59542,-47.694656,4
21,0.035888672,0.079956055,0.10784912,-46.572517,-73.80916,-48.61832,4
22,0.026245117,0.07116699,0.107788086,-63.229008,-76.29008,-63.137405,4
23,0.0345459,0.059753418,0.09820557,-49.137405,-72,-71.46565,4
24,0.031921387,0.056640625,0.08081055,-55.87786,-64.70992,-79.94656,4
25,0.026428223,0.06060791,0.10858154,-61.183205,-59.648853,-90.221375,4
26,0.036315918,0.06677246,0.086242676,-38.25954,-56.72519,-103.53435,4
27,0.028320312,0.05316162,0.08312988,-21.778625,-45.931297,-106.53435,4
28,0.017456055,0.0592041,0.085998535,-23.29771,-39.27481,-111.03817,4
29,0.0013427734,0.008544922,0.09338379,-44.08397,-24.496183,-94.74809,4
30,0.0053100586,0.13146973,0.122924805,-30.954199,-22.167938,-108.84733,4
31,0.030029297,0.09710693,0.12164307,-81.908394,-59.32061,-68.75572,4
32,-0.012756348,0.0859375,0.0725708,37.923664,-67.458015,-54.778625,4
33,0.0002441406,0.08294678,0.046875,-54.862595,-23.519083,-53.007633,4
34,0.003479004,0.04272461,0.056030273,30.931297,-9.366412,-53.603054,4
35,0.010986328,0.07055664,0.08782959,141.25954,-34.160305,-74.68702,4
36,0.0043945312,0.1149292,0.08343506,151.15266,-40.52672,-60.099236,4
37,0.020935059,0.12261963,0.09552002,74.15267,-45.46565,-28.961832,4
38,0.0178833,0.09472656,0.07940674,8.358779,-42.78626,-16.76336,4
39,0.0289917,0.08508301,0.089904785,-56.25954,-39.519085,-13.992367,4
40,0.022766113,0.0791626,0.09033203,-95.381676,-24.847328,-27.656488,4
41,0.027160645,0.082458496,0.0871582,-72.32825,-23.603054,-32.29771,4
42,0.020385742,0.09918213,0.0927124,-36.79389,-33.862595,-40.374046,4
43,0.02355957,0.059265137,0.10699463,-18.664122,-30.641222,-27.908398,4
44,0.015136719,0.076660156,0.091918945,-26.183207,-22.160305,-41.35878,4
45,0.0008544922,0.11303711,0.07861328,-62.59542,-13.7404585,-26.38168,4
46,0.0038452148,0.066101074,0.099365234,-37.89313,-13.877863,-16.08397,4
47,0.003967285,0.054260254,0.09313965,-6.0152674,-13.389313,-23.648855,4
48,-0.026977539,0.071899414,0.10064697,35.190838,-17.305344,-22.786259,4
49,0.0032348633,0.13269043,0.10064697,-37.770992,-18.778625,-8.870229,4
50,-0.003540039,0.06628418,0.08929443,-58.89313,-3.29771,32.79389,4
51,-0.0010375977,0.0748291,0.10253906,-85.580154,19.206106,6.8702292,4
52,0.009277344,0.041625977,0.10668945,-90.72519,16.534351,10.496183,4
53,-0.004699707,0.052124023,0.101745605,-29.526718,19.732824,-5.5496182,4
54,0.008361816,0.072509766,0.10601807,-18.595419,17.61832,-5.961832,4
55,-0.0043945312,0.068603516,0.08660889,-33.450382,6.7633586,9.893129,4
56,0.026306152,0.03881836,0.1048584,-61.954197,17.832062,18.213741,4
57,-0.005004883,0.03955078,0.120666504,-77.05344,11.59542,9.564885,4
58,0.003967285,0.016540527,0.09411621,15.465649,6.374046,0.71755725,4
59,-0.01574707,0.11895752,0.104003906,54.412212,0.20610687,-28.389313,4
60,0.0048828125,0.10406494,0.1295166,-16.541985,-14.122137,57.34351,4
61,-0.010192871,0.097595215,0.1305542,-106.221375,-6.0992365,50.885498,4
62,-0.013671875,-0.013183594,0.09350586,-116.0229,-19.198473,124.00764,4
63,0.008117676,0.053955078,0.0869751,-88.099236,-23.030535,-21.122137,4
64,-0.014404297,0.0904541,0.13720703,-112.80916,-3.664122,93.1145,4
65,-0.028869629,0.10888672,0.11999512,-205.9084,-26.114504,98.58778,4
66,-0.0063476562,0.06121826,0.12786865,-178.73282,-34.65649,159.16794,4
67,-0.0029296875,0.046142578,0.12408447,-120.64886,-50.67939,162.19084,4
68,-0.0013427734,0.03668213,0.12030029,-73.12214,-61.32061,175.96184,4
69,0.0065307617,0.019165039,0.10839844,-44.549618,-60.587788,189.19084,4
70,0.01373291,0.003479004,0.09460449,-22.549618,-56.374046,197.61832,4
71,0.009216309,-0.0099487305,0.10345459,-27.557251,-43.572517,208.42747,4
72,0.0040283203,-0.041137695,0.10095215,-41.450382,-35.015266,214.67175,4
73,0.003112793,-0.061279297,0.10064697,-52.549618,-37.076336,208.2061,4
74,0.0048828125,-0.08642578,0.093444824,-43.229008,-35.709923,189.0229,4
75,0.009033203,-0.09069824,0.095336914,-1.167939,-27.717558,167.03816,4
76,0.0014038086,-0.10772705,0.093444824,17.610687,-23.91603,132.89313,4
77,-0.0014038086,-0.1027832,0.10522461,28.725191,-10.267176,96.32825,4
78,0.006591797,-0.08093262,0.09631348,31.541985,-5.259542,64.099236,4
79,0.011657715,-0.070007324,0.0993042,21.167938,9.717557,51.885498,4
80,-0.0004882813,-0.061523438,0.11016846,17.053434,23,36.38168,4
81,-0.0013427734,-0.035583496,0.12158203,40.35878,24.80916,12.175572,4
82,0.0057373047,-0.042236328,0.1184082,89.40458,32.580154,9.694656,4
83,-0.00793457,-0.018981934,0.16796875,65.62595,3.1068702,-4.29771,4
84,0.0024414062,-0.0034179688,0.13635254,61.312977,-15.061069,-14.946565,4
85,0.011047363,0.012451172,0.11517334,11.122137,-12.435115,-4.0534353,4
86,0.010437012,-0.018981934,0.1159668,-0.49618322,-8,25.389313,4
87,0.005126953,-0.010864258,0.09106445,23.854961,8.480916,0.13740458,4
88,0.017700195,0.002746582,0.103393555,10.351145,16.213741,11.374045,4
89,0.009216309,-0.025390625,0.12731934,-4.3816795,33.648853,33.49618,4
90,0.019104004,0.0026855469,0.19036865,-56.67939,-1.1755725,5.7251906,4
91,0.023498535,-0.023254395,0.08911133,-49.06107,-15.229008,36.82443,4
92,-0.0073242188,-0.025817871,0.12908936,-5.557252,3.1221373,15.641221,4
93,0.014343262,-0.0053710938,0.11859131,-37.61832,-18.244274,16.091602,4
94,0.0072021484,-0.022338867,0.11236572,-47.59542,-12.816793,28.145039,4
95,0.014221191,-0.038635254,0.10681152,-54.885498,-5.366412,20.793894,4
96,0.024475098,-0.040222168,0.11956787,-34.10687,-11.21374,18.389313,4
97,0.022460938,-0.02557373,0.11639404,-34.27481,3.167939,10.244275,4
98,0.034423828,-0.04724121,0.10211182,-30.732824,-8.763359,21.08397,4
99,0.005432129,-0.042236328,0.12213135,-11.961832,-14.053435,1.6641221,4
100,0.008483887,-0.03942871,0.11029053,13.290076,-9.007633,11.549619,4
101,0.015625,-0.030639648,0.11798096,10.305344,-8.877863,5.7175574,4
102,0.01940918,-0.030090332,0.11657715,12.160305,-3.6412213,11.229008,4
103,0.0057373047,-0.022949219,0.1260376,1.3053435,-4.0534353,4.442748,4
104,0.0064697266,-0.029418945,0.11975098,-0.3053435,-4.9694657,7.3587785,4
105,0.014831543,-0.027648926,0.117248535,-7.480916,-2.572519,5.114504,4
106,0.01763916,-0.029663086,0.11462402,-4.366412,-6.2366414,-2.5419848,4
107,0.022705078,-0.017578125,0.11730957,-16.06107,1.9465649,2.5648854,4
108,0.015380859,-0.029052734,0.11791992,-23.137405,-1.2824427,10.076336,4
109,0.015075684,-0.0546875,0.122558594,-9.832061,1.8473282,13.167939,4
110,0.005554199,-0.036987305,0.11004639,13.053435,2.9847329,-11.572519,4
111,0.037475586,-0.003479004,0.11920166,-3.1908398,0.4351145,2.0458016,4
112,0.009216309,-0.033447266,0.11029053,-20.412214,1.221374,21.847328,4
113,0.025146484,-0.041625977,0.10882568,-22.23664,1,20.23664,4
114,0.02178955,-0.039611816,0.1126709,-10.671756,3.9847329,22.625954,4
115,0.011962891,-0.029846191,0.114990234,1.778626,4.3816795,17.885496,4
116,0.0067749023,-0.020935059,0.114746094,-28.290077,13.152672,2.4580152,4
